Sigla_UF;Eventos;Valor Empenhado;% Eventos;% Dinheiro
AC;56;0,0;1,0;0,0
AL;46;200000,0;0,8;0,0
AM;72;2991040,96;1,2;0,6
AP;13;10000000,0;0,2;2,0
BA;162;7788821,26;2,8;1,5
CE;92;11805056,46;1,6;2,3
DF;1;1857616,0;0,0;0,4
ES;134;4198141,41;2,3;0,8
GO;56;7904743,11;1,0;1,6
MA;178;0,0;3,1;0,0
MG;851;21302054,79;14,7;4,2
MS;172;33629000,0;3,0;6,6
MT;67;16300000,0;1,2;3,2
PA;336;0,0;5,8;0,0
PB;8;5300000,0;0,1;1,0
PE;172;26549452,0;3,0;5,2
PI;33;4020000,0;0,6;0,8
PR;174;25030615,119999997;3,0;4,9
RJ;190;40472528,09;3,3;7,9
RN;98;25800694,0;1,7;5,1
RO;23;5865000,0;0,4;1,2
RR;4;0,0;0,1;0,0
RS;1434;9845217,68;24,8;1,9
SC;1183;54084785,0;20,5;10,6
SE;32;28980777,0;0,6;5,7
SP;185;93258966,51;3,2;18,3
TO;7;72762750,0;0,1;14,3
