Cod_IBGE_Mun;Nome_Municipio;Sigla_UF;Eventos;Código Município IBGE;Valor Empenhado
1100015;Alta Floresta D`Oeste;RO;1;;0,0
1100023;Ariquemes;RO;1;;0,0
1100049;Cacoal;RO;2;;0,0
1100056;Cerejeiras;RO;1;;0,0
1100114;Jaru;RO;4;;0,0
1100122;Ji-Paraná;RO;4;;0,0
1100148;Nova Brasilândia D`Oeste;RO;1;;0,0
1100189;Pimenta Bueno;RO;2;;0,0
1100205;Porto Velho;RO;1;;0,0
1100262;Rio Crespo;RO;1;;0,0
1100338;Nova Mamoré;RO;1;;0,0
1100452;Buritis;RO;1;;0,0
1100700;Campo Novo de Rondônia;RO;1;;0,0
1101203;Ministro Andreazza;RO;1;;0,0
1101450;Parecis;RO;1;;0,0
1200054;Assis Brasil;AC;3;;0,0
1200104;Brasiléia;AC;3;;0,0
1200179;Capixaba;AC;2;;0,0
1200203;Cruzeiro do Sul;AC;2;;0,0
1200252;Epitaciolândia;AC;2;;0,0
1200302;Feijó;AC;4;;0,0
1200328;Jordão;AC;1;;0,0
1200336;Mâncio Lima;AC;4;;0,0
1200344;Manoel Urbano;AC;2;;0,0
1200351;Marechal Thaumaturgo;AC;2;;0,0
1200385;Plácido de Castro;AC;3;;0,0
1200393;Porto Walter;AC;1;;0,0
1200401;Rio Branco;AC;5;;0,0
1200427;Rodrigues Alves;AC;3;;0,0
1200435;Santa Rosa do Purus;AC;3;;0,0
1200500;Sena Madureira;AC;2;;0,0
1200609;Tarauacá;AC;8;;0,0
1200708;Xapuri;AC;2;;0,0
1200807;Porto Acre;AC;4;;0,0
1300029;Alvarães;AM;1;;0,0
1300060;Amaturá;AM;1;;0,0
1300086;Anamã;AM;1;;0,0
1300102;Anori;AM;1;;0,0
1300144;Apuí;AM;1;;0,0
1300201;Atalaia do Norte;AM;1;;0,0
1300409;Barcelos;AM;1;;0,0
1300508;Barreirinha;AM;2;;0,0
1300607;Benjamin Constant;AM;1;;0,0
1300631;Beruri;AM;1;;0,0
1300680;Boa Vista do Ramos;AM;2;;0,0
1300706;Boca do Acre;AM;3;;0,0
1300805;Borba;AM;3;;0,0
1300839;Caapiranga;AM;1;;0,0
1301001;Carauari;AM;1;;0,0
1301100;Careiro;AM;1;;0,0
1301159;Careiro da Várzea;AM;1;;0,0
1301209;Coari;AM;1;;0,0
1301407;Eirunepé;AM;3;;0,0
1301506;Envira;AM;1;;0,0
1301605;Fonte Boa;AM;3;;0,0
1301654;Guajará;AM;2;;0,0
1301704;Humaitá;AM;2;;0,0
1301803;Ipixuna;AM;1;;0,0
1301852;Iranduba;AM;1;;0,0
1301902;Itacoatiara;AM;2;;0,0
1301951;Itamarati;AM;1;;0,0
1302009;Itapiranga;AM;1;;0,0
1302108;Japurá;AM;2;;0,0
1302207;Juruá;AM;1;;0,0
1302306;Jutaí;AM;2;;0,0
1302504;Manacapuru;AM;3;;0,0
1302553;Manaquiri;AM;2;;0,0
1302603;Manaus;AM;2;;0,0
1302702;Manicoré;AM;1;;0,0
1302801;Maraã;AM;2;;0,0
1303106;Nova Olinda do Norte;AM;1;;0,0
1303304;Novo Aripuanã;AM;1;;0,0
1303403;Parintins;AM;2;;0,0
1303536;Presidente Figueiredo;AM;2;;0,0
1303569;Rio Preto da Eva;AM;1;;0,0
1303601;Santa Isabel do Rio Negro;AM;1;;0,0
1303700;Santo Antônio do Içá;AM;1;;0,0
1303908;São Paulo de Olivença;AM;1;;0,0
1304203;Tefé;AM;3;;0,0
1304237;Tonantins;AM;1;;0,0
1304260;Uarini;AM;1;;0,0
1304401;Urucurituba;AM;1;;0,0
1400175;Cantá;RR;1;;0,0
1400209;Caracaraí;RR;1;;0,0
1400456;Pacaraima;RR;1;;0,0
1400704;Uiramutã;RR;1;;0,0
1500107;Abaetetuba;PA;2;;0,0
1500206;Acará;PA;3;;0,0
1500347;Água Azul do Norte;PA;2;;0,0
1500404;Alenquer;PA;7;;0,0
1500503;Almeirim;PA;1;;0,0
1500602;Altamira;PA;6;;0,0
1500800;Ananindeua;PA;1;;0,0
1500859;Anapu;PA;2;;0,0
1500958;Aurora do Pará;PA;6;;0,0
1501006;Aveiro;PA;2;;0,0
1501105;Bagre;PA;2;;0,0
1501204;Baião;PA;3;;0,0
1501253;Bannach;PA;3;;0,0
1501402;Belém;PA;3;;0,0
1501451;Belterra;PA;3;;0,0
1501576;Bom Jesus do Tocantins;PA;2;;0,0
1501600;Bonito;PA;2;;0,0
1501782;Breu Branco;PA;2;;0,0
1501808;Breves;PA;3;;0,0
1501907;Bujaru;PA;3;;0,0
1501956;Cachoeira do Piriá;PA;2;;0,0
1502004;Cachoeira do Arari;PA;4;;0,0
1502103;Cametá;PA;2;;0,0
1502202;Capanema;PA;2;;0,0
1502301;Capitão Poço;PA;2;;0,0
1502400;Castanhal;PA;2;;0,0
1502509;Chaves;PA;1;;0,0
1502608;Colares;PA;2;;0,0
1502756;Concórdia do Pará;PA;3;;0,0
1502764;Cumaru do Norte;PA;1;;0,0
1502806;Curralinho;PA;2;;0,0
1502855;Curuá;PA;4;;0,0
1502939;Dom Eliseu;PA;3;;0,0
1502954;Eldorado dos Carajás;PA;3;;0,0
1503002;Faro;PA;1;;0,0
1503077;Garrafão do Norte;PA;1;;0,0
1503093;Goianésia do Pará;PA;3;;0,0
1503200;Igarapé-Açu;PA;1;;0,0
1503457;Ipixuna do Pará;PA;3;;0,0
1503507;Irituia;PA;4;;0,0
1503606;Itaituba;PA;3;;0,0
1503705;Itupiranga;PA;2;;0,0
1503754;Jacareacanga;PA;4;;0,0
1503804;Jacundá;PA;1;;0,0
1503903;Juruti;PA;8;;0,0
1504000;Limoeiro do Ajuru;PA;2;;0,0
