name,latitude,longitude
Campos dos Goytacazes/RJ,-21.64,-41.32555555555555
Petrópolis/RJ,-22.4,-43.181666666666665
Rio de Janeiro/RJ,-22.9433772315,-43.470174160280024
São Gonçalo/RJ,-22.821564107500002,-42.996655978633015
Teresópolis/RJ,-22.295,-42.8675
Três Rios/RJ,-22.125,-43.108374999999995
Bauru/SP,-22.25,-49.156666666666666
Canoas/RS,-29.895,-51.182500000000005
Esteio/RS,-29.85,-51.1825
Natal/RN,-5.8100000000000005,-35.2225
Campina Grande/PB,-7.265,-35.9625
Jaboatão dos Guararapes/PE,-8.145,-35.01416666666667
Salvador/BA,-12.879999999999999,-38.483000000000004
Curiúva/PR,-23.994999999999997,-50.47
