name,Eventos,Valor Empenhado,Grupo
Alta Floresta D`Oeste/RO,1,0.0,No earmark
Ariquemes/RO,1,0.0,No earmark
Cacoal/RO,2,0.0,No earmark
Cerejeiras/RO,1,0.0,No earmark
Jaru/RO,4,0.0,No earmark
Ji-Paraná/RO,4,0.0,No earmark
Nova Brasilândia D`Oeste/RO,1,0.0,No earmark
Pimenta Bueno/RO,2,0.0,No earmark
Porto Velho/RO,1,0.0,No earmark
Rio Crespo/RO,1,0.0,No earmark
Nova Mamoré/RO,1,0.0,No earmark
Buritis/RO,1,0.0,No earmark
Campo Novo de Rondônia/RO,1,0.0,No earmark
Ministro Andreazza/RO,1,0.0,No earmark
Parecis/RO,1,0.0,No earmark
Assis Brasil/AC,3,0.0,No earmark
Brasiléia/AC,3,0.0,No earmark
Capixaba/AC,2,0.0,No earmark
Cruzeiro do Sul/AC,2,0.0,No earmark
Epitaciolândia/AC,2,0.0,No earmark
Feijó/AC,4,0.0,No earmark
Jordão/AC,1,0.0,No earmark
Mâncio Lima/AC,4,0.0,No earmark
Manoel Urbano/AC,2,0.0,No earmark
Marechal Thaumaturgo/AC,2,0.0,No earmark
Plácido de Castro/AC,3,0.0,No earmark
Porto Walter/AC,1,0.0,No earmark
Rio Branco/AC,5,0.0,No earmark
Rodrigues Alves/AC,3,0.0,No earmark
Santa Rosa do Purus/AC,3,0.0,No earmark
Sena Madureira/AC,2,0.0,No earmark
Tarauacá/AC,8,0.0,No earmark
Xapuri/AC,2,0.0,No earmark
Porto Acre/AC,4,0.0,No earmark
Alvarães/AM,1,0.0,No earmark
Amaturá/AM,1,0.0,No earmark
Anamã/AM,1,0.0,No earmark
Anori/AM,1,0.0,No earmark
Apuí/AM,1,0.0,No earmark
Atalaia do Norte/AM,1,0.0,No earmark
Barcelos/AM,1,0.0,No earmark
Barreirinha/AM,2,0.0,No earmark
Benjamin Constant/AM,1,0.0,No earmark
Beruri/AM,1,0.0,No earmark
Boa Vista do Ramos/AM,2,0.0,No earmark
Boca do Acre/AM,3,0.0,No earmark
Borba/AM,3,0.0,No earmark
Caapiranga/AM,1,0.0,No earmark
Carauari/AM,1,0.0,No earmark
Careiro/AM,1,0.0,No earmark
Careiro da Várzea/AM,1,0.0,No earmark
Coari/AM,1,0.0,No earmark
