Sigla_UF,Share of events,Share of money
AC,0.9690257830074408,0.0
AL,0.7959854646132549,0.03921974210416199
AM,1.245890292438138,0.5865392753709255
AP,0.2249524139124416,1.9609871052080996
BA,2.8032531579858104,1.5273778055630702
CE,1.5919709292265098,2.3149563494313576
DF,0.017304031839418584,0.3642761022428249
ES,2.31874026648209,0.8232501170850149
GO,0.9690257830074408,1.5501099308692572
MA,3.0801176674165083,0.0
MG,14.725731095345216,4.177305475762643
MS,2.9762934763799964,6.5946035361043185
MT,1.159370133241045,3.1964089814892023
PA,5.814154698044645,0.0
PB,0.13843225471534867,1.0393231657602928
PE,2.9762934763799964,5.206313302234139
PI,0.5710330507008133,0.7883168162936561
PR,3.0109015400588337,4.908471348574688
RJ,3.2877660494895307,7.936610569966261
RN,1.6957951202630213,5.059482823941998
RO,0.39799273230662746,1.1501189372045504
RR,0.06921612735767434,0.0
RS,24.81398165772625,1.93063449184468
SC,20.470669666032183,10.605956597295245
SE,0.5537290188613947,5.683092999591147
SP,3.201245890292438,18.2879630771144
TO,0.1211282228759301,14.268681448948065
